gage_id,seg_id,RefNonRef,Area,NSE,Pbias,RSR,AbsPbias,NSEeval,AbsPbiaseval,RSReval,SumScore,DI
01030500,15,Ref   ,-0.096592082,0.756631509,-11.9,0.493312475,11.9,1,1,1,3,5
01011000,43,NonRef,19.63523395,0.673126282,-17,0.571715445,17,1,1,1,3,8
01013500,48,Ref   ,-1.863249304,0.81278221,-2.7,0.432676672,2.7,1,1,1,3,5
01016500,95,NonRef,0.364852168,0.593247513,-13.6,0.637744497,13.6,1,1,1,3,4
01017000,68,NonRef,-3.439514839,0.753880907,-9.8,0.496092403,9.8,1,1,1,3,5
01015800,80,NonRef,-6.303702054,0.735623649,-4.6,0.51416195,4.6,1,1,1,3,4
01017550,96,Ref   ,-92.48770895,-151.2176194,1176,12.3359894,1176,0,0,0,0,7
01018000,98,NonRef,-42.53741635,0.274145804,45.6,0.851940096,45.6,0,0,0,0,14
01017960,99,NonRef,-0.34652232,0.342287582,-26.9,0.810817151,26.9,0,0,0,0,7
01041000,118,NonRef,-0.411626707,-2.598169092,-11.6,1.896802411,11.6,0,1,0,1,7
01042500,129,NonRef,-0.163944617,-1.068102419,-16.8,1.438056484,16.8,0,1,0,1,11
01046500,380,NonRef,3.032729494,-0.01340153,-12.1,1.006655107,12.1,0,1,0,1,10
01044550,133,Ref   ,-0.876192824,0.684986334,-5.4,0.561187044,5.4,1,1,1,3,9
01045000,376,NonRef,-0.386276055,0.27859406,-3,0.849315745,3,0,1,0,1,7
01043500,137,NonRef,-0.552358412,-0.251142425,-2.1,1.118496566,2.1,0,1,0,1,7
01027200,182,Ref   ,4.285598698,0.686622445,-12.3,0.559709394,12.3,1,1,1,3,5
01029200,191,Ref   ,-0.189236592,0.696738165,-14.5,0.550628,14.5,1,1,1,3,6
01029500,208,NonRef,-23.1661777,0.522159987,-15.4,0.691237199,15.4,1,1,1,3,9
01034500,274,NonRef,-4.057822268,0.719618203,-10.5,0.529498618,10.5,1,1,1,3,13
01034000,222,NonRef,0.000860593,0.650760214,-12.2,0.590949573,12.2,1,1,1,3,10
01033500,235,Ref   ,0.26914349,0.565418316,-27.3,0.659196705,27.3,1,0,1,2,4
01033000,237,NonRef,-0.033424407,0.387890733,-3.3,0.782347838,3.3,0,1,0,1,9
01031300,238,Ref   ,-0.002542308,0.645102874,-0.1,0.595670882,0.1,1,1,1,3,2
01031500,241,Ref   ,0.687581302,0.702082517,-6.3,0.545805513,6.3,1,1,1,3,11
01031450,244,NonRef,3.037110641,0.582075363,-3.2,0.64639974,3.2,1,1,1,3,6
01030000,257,NonRef,-7.822206927,-0.111939025,-7.1,1.054449768,7.1,0,1,0,1,14
01035000,305,NonRef,0.318180897,0.042568827,-0.2,0.978437524,0.2,0,1,0,1,13
01036500,283,NonRef,27.8465841,0.602320929,-24.8,0.630587977,24.8,1,1,1,3,13
01021480,320,Ref   ,-3.636002384,0.755508307,2.9,0.49440175,2.9,1,1,1,3,5
01021200,332,NonRef,0.790921223,0.604441579,-23,0.62891767,23,1,1,1,3,13
01022500,331,Ref   ,-5.232264448,0.700157071,3.6,0.547566448,3.6,1,1,1,3,8
01021470,333,Ref   ,13.83895952,-0.120347371,43.8,1.058312889,43.8,0,0,0,0,5
01022260,335,Ref   ,-4.015205512,0.67783479,-0.5,0.567556282,0.5,1,1,1,3,9
01021500,340,NonRef,-0.209385983,0.57086884,1.4,0.655055117,1.4,1,1,1,3,6
01023000,347,Ref   ,11.85428712,0.578353988,-26.6,0.649311832,26.6,1,0,1,2,4
01022330,351,Ref   ,-18.10443594,0.327965931,5.1,0.819598532,5.1,0,1,0,1,4
01037380,371,Ref   ,-9.525006283,0.605206847,-20.4,0.628251277,20.4,1,1,1,3,7
01046000,374,Ref   ,-4.319445478,0.521370801,-24.2,0.69178356,24.2,1,1,1,3,4
01047000,399,Ref   ,1.028602829,0.669085346,-8.2,0.575238471,8.2,1,1,1,3,7
01049000,401,NonRef,-0.84919544,0.134181372,0.4,0.930472166,0.4,0,1,0,1,17
01048000,408,NonRef,-0.329915705,0.726147036,-7.8,0.523295652,7.8,1,1,1,3,13
01049265,430,NonRef,-0.209499103,0.672968068,-7.8,0.571834777,7.8,1,1,1,3,16
01049500,428,NonRef,0.021202651,0.139748695,-2.4,0.92747032,2.4,0,1,0,1,15
01133000,465,NonRef,-0.096560945,0.430243193,-3.3,0.754797165,3.3,0,1,0,1,5
01134500,466,Ref   ,-7.035393307,0.573079121,6.2,0.653376667,6.2,1,1,1,3,3
01135000,468,Ref   ,-1.12088744,0.649219272,3.9,0.592242688,3.9,1,1,1,3,5
01135300,469,Ref   ,-7.767720852,0.489280717,0.7,0.714595448,0.7,0,1,0,1,7
01135150,470,Ref   ,-26.01866606,-1.323597232,29.2,1.524225581,29.2,0,0,0,0,6
01135500,472,NonRef,0.338065639,0.605527942,-0.7,0.628055533,0.7,1,1,1,3,12
01139000,481,Ref   ,-1.791506562,0.700901675,-0.1,0.546886136,0.1,1,1,1,3,14
01139800,482,Ref   ,-6.964656965,0.481824955,-13.3,0.719824662,13.3,0,1,0,1,5
01141500,484,NonRef,-3.396719947,0.403218961,-4.4,0.772488752,4.4,0,1,0,1,12
01127880,488,Ref   ,-3.869407497,0.409653865,-3.4,0.768290176,3.4,0,1,0,1,5
01128500,490,NonRef,-2.182623863,-1.286687387,-5.2,1.5121276,5.2,0,1,0,1,12
01129200,491,NonRef,-0.236055632,-0.231623936,-18.5,1.109757007,18.5,0,1,0,1,10
01130000,496,Ref   ,-1.784391338,0.685319618,-6.2,0.560949153,6.2,1,1,1,3,4
01137500,505,Ref   ,-4.801234541,0.666010866,-6.9,0.577904521,6.9,1,1,1,3,6
01138000,504,Ref   ,-0.66666499,0.574696374,20.6,0.65212306,20.6,1,1,1,3,10
04296500,516,NonRef,-26.92879674,-0.67813984,10.4,1.295400312,10.4,0,1,0,1,10
04296000,517,Ref   ,4.930891827,0.606677879,-18.2,0.627139247,18.2,1,1,1,3,8
01019000,538,NonRef,3.42812357,-1.746470087,-7.3,1.657209293,7.3,0,1,0,1,15
01038000,555,NonRef,-0.095081922,0.647207383,-2.6,0.5939497,2.6,1,1,1,3,15
01069500,565,NonRef,-4.043732796,0.484361946,-17.9,0.71805122,17.9,0,1,0,1,23
01072800,566,NonRef,-5.426998876,0.545356483,0.8,0.674210378,0.8,1,1,1,3,19
01072870,567,NonRef,9.983711651,0.62422193,-39.5,0.612872833,39.5,1,0,1,2,15
01073000,568,Ref   ,-2.419354839,0.408928571,-31.7,0.768793861,31.7,0,0,0,0,10
01073500,570,NonRef,1.556838892,0.722386343,0.2,0.52687833,0.2,1,1,1,3,19
01073785,572,NonRef,-18.04707934,0.642651714,-12.3,0.59767682,12.3,1,1,1,3,14
01072500,573,NonRef,1.295863511,0.544260297,-26.2,0.675035668,26.2,1,0,1,2,17
01073600,596,NonRef,-39.48618045,0.492560698,14.8,0.712306481,14.8,0,1,0,1,14
01073587,598,NonRef,-0.229393835,0.71690372,6.9,0.532014029,6.9,1,1,1,3,13
01102000,600,NonRef,1.995854888,0.512463228,-9.5,0.698222134,9.5,1,1,1,3,25
01101000,601,NonRef,-1.616628176,0.735543801,-6.8,0.514241118,6.8,1,1,1,3,15
01100600,605,NonRef,NA,-0.616764527,-100,1.27148281,100,0,0,0,0,17
01101500,607,NonRef,-4.712961179,0.551395185,1.7,0.669764136,1.7,1,1,1,3,26
