gage_id,seg_id,RefNonRef,Area,NSE,Pbias,RSR,AbsPbias,NSEeval,AbsPbiaseval,RSReval,SumScore,DI
01030500,15,Ref   ,-0.096592082,0.776807727,-12.3,0.472421333,12.3,1,1,1,3,5
01011000,43,NonRef,19.63523395,0.671933214,-19,0.572757856,19,1,1,1,3,8
01013500,48,Ref   ,-1.863249304,0.744820327,2.3,0.505141397,2.3,1,1,1,3,5
01016500,95,NonRef,0.364852168,0.601447456,-19.8,0.63128345,19.8,1,1,1,3,4
01017000,68,NonRef,-3.439514839,0.737274896,-11.6,0.512555278,11.6,1,1,1,3,5
01015800,80,NonRef,-6.303702054,0.694788853,-3.1,0.552444721,3.1,1,1,1,3,4
01017550,96,Ref   ,-92.48770895,-150.6173505,1174.3,12.31164194,1174.3,0,0,0,0,7
01018000,98,NonRef,-42.53741635,0.217484367,40.2,0.884567286,40.2,0,0,0,0,14
01017960,99,NonRef,-0.34652232,0.472890997,-27.4,0.725863775,27.4,0,0,0,0,7
01041000,118,NonRef,-0.411626707,-3.027442545,-12.3,2.006762539,12.3,0,1,0,1,7
01042500,129,NonRef,-0.163944617,-1.242141542,-18.1,1.49734348,18.1,0,1,0,1,11
01046500,380,NonRef,3.032729494,-0.158120364,-12,1.076135039,12,0,1,0,1,10
01044550,133,Ref   ,-0.876192824,0.705838749,-6.3,0.542295088,6.3,1,1,1,3,9
01045000,376,NonRef,-0.386276055,0.209564788,0.1,0.889021897,0.1,0,1,0,1,7
01043500,137,NonRef,-0.552358412,-0.361279028,4.9,1.166688337,4.9,0,1,0,1,7
01027200,182,Ref   ,4.285598698,0.686713072,-6.5,0.559628456,6.5,1,1,1,3,5
01029200,191,Ref   ,-0.189236592,0.703611331,-16.6,0.544352486,16.6,1,1,1,3,6
01029500,208,NonRef,-23.1661777,0.477131804,-19.6,0.723072688,19.6,0,1,0,1,9
01034500,274,NonRef,-4.057822268,0.70847849,-11,0.539914792,11,1,1,1,3,13
01034000,222,NonRef,0.000860593,0.646092237,-12.4,0.594885812,12.4,1,1,1,3,10
01033500,235,Ref   ,0.26914349,0.584123268,-28.7,0.644854344,28.7,1,0,1,2,4
01033000,237,NonRef,-0.033424407,0.373576439,-2.8,0.791442652,2.8,0,1,0,1,9
01031300,238,Ref   ,-0.002542308,0.656066995,0.2,0.586397429,0.2,1,1,1,3,2
01031500,241,Ref   ,0.687581302,0.701694034,-5.6,0.546161261,5.6,1,1,1,3,11
01031450,244,NonRef,3.037110641,0.57888162,-2.2,0.648864904,2.2,1,1,1,3,6
01030000,257,NonRef,-7.822206927,-0.192388302,-7.8,1.091928654,7.8,0,1,0,1,14
01035000,305,NonRef,0.318180897,0.109613259,-1,0.943558129,1,0,1,0,1,13
01036500,283,NonRef,27.8465841,0.571645151,-29.8,0.654457068,29.8,1,0,1,2,13
01021480,320,Ref   ,-3.636002384,0.755234934,2.5,0.494678075,2.5,1,1,1,3,5
01021200,332,NonRef,0.790921223,0.580151731,-20.8,0.647939808,20.8,1,1,1,3,13
01022500,331,Ref   ,-5.232264448,0.700540146,0.5,0.547216555,0.5,1,1,1,3,8
01021470,333,Ref   ,13.83895952,-0.036976803,32.6,1.018174594,32.6,0,0,0,0,5
01022260,335,Ref   ,-4.015205512,0.671607097,-1,0.573015667,1,1,1,1,3,9
01021500,340,NonRef,-0.209385983,0.539690829,3.5,0.678434043,3.5,1,1,1,3,6
01023000,347,Ref   ,11.85428712,0.584803391,-25.1,0.644326832,25.1,1,0,1,2,4
01022330,351,Ref   ,-18.10443594,0.20067302,1,0.893856418,1,0,1,0,1,4
01037380,371,Ref   ,-9.525006283,0.621559594,-19.2,0.615102261,19.2,1,1,1,3,7
01046000,374,Ref   ,-4.319445478,0.52292134,-29.7,0.69066212,29.7,1,0,1,2,4
01047000,399,Ref   ,1.028602829,0.657226179,-5.1,0.585455306,5.1,1,1,1,3,7
01049000,401,NonRef,-0.84919544,0.202293895,2.5,0.893123221,2.5,0,1,0,1,17
01048000,408,NonRef,-0.329915705,0.710734895,-5.6,0.537819354,5.6,1,1,1,3,13
01049265,430,NonRef,-0.209499103,0.652418956,-7,0.589526764,7,1,1,1,3,16
01049500,428,NonRef,0.021202651,0.089137706,-2.4,0.954363262,2.4,0,1,0,1,15
01133000,465,NonRef,-0.096560945,0.29302118,-10.4,0.840792251,10.4,0,1,0,1,5
01134500,466,Ref   ,-7.035393307,0.600194025,-0.6,0.632287452,0.6,1,1,1,3,3
01135000,468,Ref   ,-1.12088744,0.660877804,-2.1,0.582317649,2.1,1,1,1,3,5
01135300,469,Ref   ,-7.767720852,0.541068902,0.1,0.677396364,0.1,1,1,1,3,7
01135150,470,Ref   ,-26.01866606,-1.880739527,22,1.697152299,22,0,1,0,1,6
01135500,472,NonRef,0.338065639,0.565200093,-5.6,0.659378291,5.6,1,1,1,3,12
01139000,481,Ref   ,-1.791506562,0.707917216,-2.9,0.540434298,2.9,1,1,1,3,14
01139800,482,Ref   ,-6.964656965,0.47365305,-16.3,0.725478474,16.3,0,1,0,1,5
01141500,484,NonRef,-3.396719947,0.355804262,-5.8,0.802589697,5.8,0,1,0,1,12
01127880,488,Ref   ,-3.869407497,0.482046581,-6.1,0.719643272,6.1,0,1,0,1,5
01128500,490,NonRef,-2.182623863,-1.168521233,-41.4,1.472539258,41.4,0,0,0,0,12
01129200,491,NonRef,-0.236055632,-0.332676256,-36.4,1.154386303,36.4,0,0,0,0,10
01130000,496,Ref   ,-1.784391338,0.683325635,-5.3,0.562723583,5.3,1,1,1,3,4
01137500,505,Ref   ,-4.801234541,0.662196589,-9.1,0.581195093,9.1,1,1,1,3,6
01138000,504,Ref   ,-0.66666499,0.593699501,16.1,0.637387721,16.1,1,1,1,3,10
